Sesión;Usuario;Fecha y hora;Tiempo desde inicio (s);Velocidad (km/h);Potencia (W);Cadencia (rpm);Pulso (bpm);Pendiente (%);Marcha virtual;Relación;Elevación (m);Latitud;Longitud;Distancia (km)
23;DR;2026-09-06T11:09:27.254Z;46.8;24.82;110;75;82;-2.54;7;2.08;68.6;43.317814;-1.929720;0.000
23;DR;2026-09-06T11:09:28.235Z;47.8;25.09;121;76;83;-2.54;7;2.08;68.6;43.317814;-1.929720;0.003
23;DR;2026-09-06T11:09:29.247Z;48.8;25.50;108;77;83;-2.54;7;2.08;68.0;43.317968;-1.929519;0.011
23;DR;2026-09-06T11:09:30.237Z;49.8;26.02;117;78;84;-2.54;7;2.08;68.0;43.317968;-1.929519;0.018
23;DR;2026-09-06T11:09:31.236Z;50.8;26.22;93;78;85;-1.55;7;2.08;68.0;43.317968;-1.929519;0.025
23;DR;2026-09-06T11:09:32.236Z;51.8;26.31;103;80;85;-1.55;7;2.08;68.2;43.318179;-1.929179;0.032
23;DR;2026-09-06T11:09:33.237Z;52.8;26.65;112;83;85;-0.55;7;2.08;68.2;43.318179;-1.929179;0.040
23;DR;2026-09-06T11:09:34.237Z;53.8;26.34;102;78;86;-0.55;7;2.08;68.2;43.318179;-1.929179;0.047
23;DR;2026-09-06T11:09:35.238Z;54.8;24.59;17;72;89;0.16;7;2.08;68.2;43.318179;-1.929179;0.054
23;DR;2026-09-06T11:09:36.244Z;55.8;22.28;5;76;86;0.16;7;2.08;68.2;43.318179;-1.929179;0.061
23;DR;2026-09-06T11:09:37.290Z;56.8;19.91;5;76;86;0.68;7;2.08;68.4;43.318256;-1.929021;0.067
23;DR;2026-09-06T11:09:38.236Z;57.8;17.51;11;70;86;0.68;7;2.08;68.4;43.318256;-1.929021;0.072
23;DR;2026-09-06T11:09:39.240Z;58.8;14.90;11;70;85;0.10;7;2.08;68.4;43.318256;-1.929021;0.076
23;DR;2026-09-06T11:09:40.236Z;59.8;12.06;0;0;85;0.10;7;2.08;68.4;43.318312;-1.928869;0.080
23;DR;2026-09-06T11:09:41.238Z;60.8;9.69;7;46;85;0.00;7;2.08;68.4;43.318312;-1.928869;0.083
23;DR;2026-09-06T11:09:42.240Z;61.8;7.92;7;46;84;0.00;7;2.08;68.4;43.318312;-1.928869;0.085
23;DR;2026-09-06T11:09:43.238Z;62.8;6.37;0;0;83;-0.58;7;2.08;68.4;43.318312;-1.928869;0.087
23;DR;2026-09-06T11:09:44.245Z;63.8;4.93;0;0;83;-0.58;7;2.08;68.4;43.318312;-1.928869;0.089
23;DR;2026-09-06T11:09:45.254Z;64.8;3.61;0;0;82;-1.07;7;2.08;68.4;43.318312;-1.928869;0.090
23;DR;2026-09-06T11:09:46.240Z;65.8;2.40;0;0;82;-1.07;7;2.08;68.4;43.318321;-1.928848;0.091
23;DR;2026-09-06T11:09:47.236Z;66.8;1.29;0;0;82;-1.34;7;2.08;68.4;43.318321;-1.928848;0.091
23;DR;2026-09-06T11:09:48.256Z;67.8;0.76;0;0;82;-1.34;7;2.08;68.2;43.318375;-1.928681;0.092
